"customer_id","Customer_Segments"
326,"Low"
355,"Low"
412,"Low"
479,"Low"
486,"Super High"
518,"Super High"
530,"Low"
552,"Low"
629,"Super High"
663,"Super High"
687,"Super High"
694,"Super High"
702,"Low"
736,"Low"
777,"Low"
794,"Low"
795,"Low"
805,"Super High"
818,"Super High"
833,"Low"
842,"Low"
844,"Super High"
853,"Low"
858,"Low"
868,"Low"
869,"Low"
873,"Low"
874,"Low"
919,"Low"
920,"Low"
939,"Low"
941,"Low"
952,"Low"
956,"Low"
967,"Super High"
977,"Super High"
985,"Low"
987,"High"
989,"Super High"
1013,"Low"
1037,"Low"
1066,"High"
1096,"Low"
1098,"Low"
1101,"Low"
1106,"Low"
1107,"Super High"
1130,"Super High"
1146,"Super High"
1148,"Low"
1170,"Super High"
1173,"High"
1184,"Super High"
1186,"Super High"
1193,"Super High"
1201,"Low"
1499,"Low"
1648,"Super High"
1708,"Super High"
1717,"Low"
1733,"Low"
1738,"Medium"
1762,"Super High"
1773,"Low"
1781,"Super High"
1785,"Low"
1802,"Low"
1810,"Super High"
1824,"Low"
1861,"Medium"
1863,"Low"
1869,"Super High"
1870,"Super High"
1887,"Super High"
1896,"Super High"
1902,"Low"
1907,"Low"
1921,"Low"
1953,"Super High"
1957,"Low"
1961,"Low"
1966,"Low"
1968,"Low"
1972,"Low"
1974,"Low"
1985,"Low"
1986,"Super High"
1998,"Low"
2000,"Low"
2007,"Low"
2015,"Low"
2376,"Super High"
2567,"Super High"
2571,"Super High"
2572,"Low"
2590,"Low"
2606,"Low"
2616,"Low"
2658,"Super High"
2953,"Super High"
2990,"Super High"
3142,"Low"
3153,"Low"
3160,"Low"
3179,"Super High"
3186,"Low"
3201,"Low"
3237,"Super High"
3239,"Super High"
3242,"Low"
3264,"Super High"
3268,"Low"
3269,"Low"
3287,"Super High"
3293,"Low"
3543,"Medium"
3709,"Super High"
3736,"Low"
3747,"Low"
3759,"Super High"
4039,"Low"
4105,"Low"
4131,"Super High"
4183,"Super High"
4198,"Super High"
4234,"Low"
4249,"Low"
4271,"Low"
4282,"Low"
4347,"Low"
4348,"Low"
4369,"Low"
4377,"Low"
4393,"Low"
4430,"Low"
4432,"Low"
4438,"Low"
4446,"Low"
4447,"Low"
4467,"Low"
4495,"Super High"
4496,"Super High"
4506,"Low"
4509,"Super High"
4510,"Super High"
4512,"Super High"
4518,"High"
4535,"Medium"
4561,"Low"
4581,"Super High"
4584,"Low"
4594,"Super High"
4604,"Low"
4615,"Low"
4618,"Low"
4627,"Super High"
4637,"Medium"
4639,"Super High"
4640,"Super High"
4692,"Super High"
4809,"Super High"
4823,"Low"
4841,"Low"
4886,"Low"
4902,"Low"
4958,"Low"
5001,"Low"
5021,"Low"
5038,"Super High"
5042,"Low"
5043,"Low"
5079,"Super High"
5134,"Super High"
5322,"Super High"
5352,"Super High"
5367,"Low"
5388,"Low"
5428,"Low"
5442,"Super High"
5450,"Super High"
5461,"Low"
5464,"Low"
5469,"Super High"
5472,"Low"
5479,"Low"
5499,"Super High"
5509,"Low"
5510,"Super High"
5518,"Low"
5534,"Low"
5538,"Low"
5540,"Low"
5554,"High"
5690,"Super High"
5749,"Low"
5842,"Super High"
5844,"Low"
5847,"Low"
5864,"Super High"
5868,"High"
5879,"High"
5880,"Super High"
5883,"Low"
5902,"Low"
5906,"Low"
5918,"Low"
5950,"Low"
5976,"Low"
5994,"High"
6008,"Low"
6013,"Super High"
6020,"Super High"
6027,"Low"
6030,"Low"
6033,"Low"
6035,"Super High"
6040,"Low"
6041,"Low"
6043,"Super High"
6047,"Low"
6633,"Low"
6679,"Super High"
6682,"Super High"
6701,"Low"
6734,"Low"
6752,"Super High"
6769,"Super High"
6777,"Low"
6806,"Super High"
6849,"Super High"
6850,"Super High"
6875,"Super High"
6894,"Super High"
6911,"Low"
6925,"Low"
6939,"High"
6965,"Low"
6974,"Super High"
6989,"Super High"
7026,"Super High"
7052,"Super High"
7545,"Super High"
7581,"Super High"
7696,"Low"
7709,"Low"
7783,"Low"
7798,"Low"
7802,"Super High"
7832,"Super High"
7891,"Low"
7894,"Super High"
7895,"Low"
7908,"Low"
7911,"Low"
7916,"High"
7969,"Low"
7980,"Low"
7990,"Super High"
7996,"Super High"
8012,"Super High"
8417,"Low"
8440,"Super High"
8474,"Medium"
8580,"Super High"
8653,"Low"
8671,"Super High"
8709,"Low"
8716,"Super High"
8733,"Low"
8765,"Low"
8796,"Low"
8830,"Super High"
8836,"High"
8865,"Low"
8876,"Low"
8879,"Low"
8898,"Low"
8922,"Low"
8942,"Low"
8963,"High"
9487,"Low"
9517,"Low"
9722,"Super High"
9724,"Super High"
9876,"Super High"
9971,"Super High"
10085,"Low"
10118,"Super High"
10171,"Low"
10192,"Low"
10206,"Medium"
10209,"Low"
10245,"Low"
10260,"Super High"
10267,"Low"
10270,"Super High"
10315,"Low"
10321,"Low"
10338,"Low"
10341,"Low"
10345,"Low"
10358,"Super High"
10366,"Super High"
10391,"Super High"
10393,"Super High"
10394,"Low"
10396,"Super High"
10420,"Low"
10423,"Super High"
10426,"Super High"
10823,"Low"
10853,"Super High"
10869,"Low"
10939,"Super High"
10951,"Low"
10960,"Low"
10962,"Low"
10971,"Low"
10992,"Super High"
11002,"Super High"
11003,"Super High"
11010,"Low"
11022,"Super High"
11048,"Super High"
11082,"Low"
11092,"Medium"
11117,"Low"
11123,"Low"
11135,"Super High"
11138,"Super High"
11146,"High"
11263,"Super High"
11328,"Super High"
11336,"Super High"
11440,"Low"
11471,"Super High"
11474,"Super High"
11542,"Low"
11549,"Low"
11601,"Low"
11603,"Low"
11605,"Low"
11639,"Medium"
11749,"Low"
11778,"Super High"
11780,"Low"
11807,"Super High"
11867,"Low"
11898,"Super High"
11899,"Low"
11917,"Low"
11921,"Low"
11929,"Low"
11932,"Super High"
11940,"Low"
11941,"Low"
11954,"High"
11957,"Low"
11960,"Super High"
11986,"Super High"
11992,"Low"
12175,"Low"
12244,"Low"
12352,"Low"
12388,"Low"
12428,"Super High"
12510,"Super High"
12522,"Low"
12526,"Low"
12527,"Low"
12556,"Super High"
12564,"Super High"
12573,"Super High"
12582,"Low"
12594,"Low"
12603,"Low"
12610,"Low"
12612,"Low"
12616,"Low"
12640,"Super High"
12642,"Super High"
12658,"Low"
12669,"Super High"
12689,"Low"
12713,"Super High"
12722,"Super High"
12723,"Low"
13259,"Low"
13282,"Super High"
13293,"Low"
13304,"Low"
13324,"Low"
13328,"Low"
13375,"Low"
13384,"Super High"
13424,"Super High"
13443,"Low"
13450,"Super High"
13466,"Low"
13470,"Low"
13503,"Super High"
13505,"Low"
13687,"Low"
13709,"Low"
13728,"Low"
13735,"Low"
13739,"Medium"
13757,"Low"
13767,"Medium"
13773,"Super High"
13789,"High"
13795,"Medium"
13798,"Medium"
13960,"Medium"
14248,"Super High"
14271,"Low"
14273,"Medium"
14312,"Medium"
14319,"Super High"
14322,"Low"
14342,"Low"
14343,"Medium"
14351,"Medium"
14356,"Low"
15453,"Super High"
15542,"Super High"
15551,"Super High"
15636,"Super High"
15638,"Low"
15676,"Medium"
15679,"High"
15698,"Low"
15713,"Medium"
15726,"Medium"
15731,"Low"
15740,"Super High"
15799,"Low"
15817,"High"
15833,"Low"
16600,"Low"
16752,"Medium"
16822,"Medium"
16872,"Medium"
16924,"Low"
17040,"Super High"
17058,"Low"
17075,"Low"
17120,"Low"
17180,"Medium"
17251,"Low"
17295,"Low"
17338,"Medium"
17343,"Medium"
17377,"Super High"
17403,"Medium"
17412,"Super High"
17416,"Medium"
17444,"Medium"
17451,"Super High"
17472,"Low"
17474,"Super High"
17487,"Medium"
17489,"Low"
17490,"Medium"
17514,"Medium"
17534,"Medium"
17542,"Low"
17543,"Super High"
17571,"High"
17591,"Medium"
17603,"Medium"
17640,"Medium"
17675,"Super High"
17686,"Medium"
17703,"Super High"
17708,"Super High"
17737,"Low"
17748,"Super High"
17754,"Medium"
18150,"Low"
18278,"Low"
18322,"Low"
18331,"Low"
18399,"Low"
18422,"Medium"
18493,"Low"
18494,"Low"
18513,"Low"
18555,"Super High"
18584,"Super High"
18592,"Super High"
18595,"Low"
18598,"Super High"
18626,"Low"
19007,"Super High"
19097,"Super High"
19126,"Super High"
19150,"Super High"
19168,"Low"
19251,"Low"
19329,"Super High"
19400,"Medium"
19407,"Medium"
19415,"Low"
